"BLUP","Genotype"
3.04077932992169,"u97_3309"
3.03939348366378,"ag2403"
3.03875783365217,"ld16_10310"
3.03347391924178,"u03_300134"
3.03060652733472,"a99_217001"
3.02416623407397,"e15349"
3.02351878829869,"cr147814"
3.0227955870743,"a00_912051"
3.01986461799904,"a07_527010"
3.0173660550788,"ld08_5579"
3.01606991709769,"u16_324137"
3.01032088915449,"cl05_51112"
3.00731258793306,"ln95_836"
3.00489695463213,"hs96_3347"
3.00480785787553,"u97_3108"
3.00174771852881,"a06_912030"
3.00145958390484,"u94_3518"
2.99697711915921,"orc_9508"
2.99544089637929,"u16_610065"
2.98957452661718,"u06_818219r"
2.98907625098226,"hs92_2683"
2.98860425634625,"a91_701035"
2.98380374660121,"ld13_14525r2"
2.98169385748692,"a96_692044"
2.98086380276011,"u06_206737"
2.9803339838984,"k1403"
2.97824065041237,"u16_129646"
2.9689304485017,"a04_643042"
2.96726707133282,"a91_702022"
2.9667969911372,"ln88_9883"
2.96679699113719,"k1231"
2.96614062759989,"u11_616086"
2.95915022140756,"a03_946006"
2.95696168864591,"c2029"
2.95589534414539,"u11_612121"
2.95362510042626,"a00_912045"
2.95085064980626,"u97_3621"
2.94921630147321,"u13_618123"
2.9461640838549,"ar09_292001"
2.93950768405686,"u97_2140"
2.93712188227611,"u17_618174"
2.93483456967999,"a98_980051"
2.93482972661843,"ln95_2184"
2.93413805193851,"u14_912075"
2.9326547437173,"u09_312115"
2.92565244516087,"e16031"
2.92487949862295,"e14077"
2.91166553054991,"ar07_276022"
2.91156088330241,"u16_324189"
2.91111997185309,"u09_133005"
2.90891285478133,"hc97_4358"
2.90149636475337,"a93_754028"
2.89621537354207,"ld02_5124w"
2.89470825755133,"hc97_545"
2.88837718297194,"e15345"
2.88432602399294,"dwight"
2.88370798309507,"a93_754022"
2.88272057522897,"hs97_4555"
2.87623284000626,"ld15_5372a"
2.87578769388463,"nex2505a0r"
2.86931677027706,"hc84_2612"
2.86827972972578,"u94_2623"
2.86249026860953,"hs93_3759"
2.85977161110968,"u12_428214"
2.85702539233813,"u01_390787"
2.85269556088374,"u99_003002"
2.84791786823401,"u01_390489"
2.84489636226772,"ld14_5353a"
2.84489636226771,"lg15_2136"
2.84312996758452,"u03_801278"
2.84248601279002,"ln95_872"
2.8348639174569,"hm12_n069"
2.83463893393232,"hs1_3885"
2.83327364271324,"dsn11_06152"
2.83210031071762,"hs91_4621"
2.82850221344242,"ldx98154_8"
2.82516562522279,"a00_912050"
2.82376107911295,"a95_485020"
2.82322174454332,"u05_226055"
2.82301020693078,"hs8w_83"
2.82280414834265,"hs91_4523"
2.82221729924638,"ln95_6353"
2.82123588116377,"hs93_3777"
2.82081522356355,"a02_338013"
2.81715661266638,"u89_3937"
2.81701136183548,"c1872"
2.81495125208193,"ld14_14172r2"
2.8100277817216,"hc85_690"
2.80801849382393,"ln90_3382"
2.80709470185351,"e12247"
2.80487956032209,"e00003"
2.80229209640984,"hm16_m015"
2.80047662366747,"k1404"
2.80047071051745,"e01260"
2.79948750218131,"nex27031r"
2.79944436208941,"ss91_6655"
2.79255393990304,"ldx98152_32"
2.79196352880001,"hc99_27mb"
2.79192367523641,"hs94_1697"
2.78964462992565,"u06_100052"
2.78653248705549,"pana"
2.78645670164391,"u13_604147"
2.77523240621189,"hs90_3449"
2.77482525474762,"a07_527026"
2.77204702177776,"c1871"
2.76200042156377,"u97_3429"
2.76166818539476,"lg10_3413"
2.75832757019271,"a99_217033"
2.75585269882415,"lg08_3007"
2.75280221086551,"a97_771041"
2.74911788077629,"hs8w_8"
2.74892608876595,"a07_527022"
2.74838212991652,"a96_591033"
2.74547224924853,"u03_801174"
2.74485587067163,"ld13_3483"
2.74060687042228,"u11_444079"
2.74030652142918,"ld05_16860"
2.74025874197674,"u01_390783"
2.73872710627226,"u94_3526"
2.73554932772703,"u15_231102"
2.73329197479635,"a92_632035"
2.71980573442408,"hf00_092"
2.7155006647594,"k1376"
2.71464693702647,"sl91_4554"
2.71174052247462,"a08_350042"
2.71020628709592,"ld10_10198"
2.69867774729043,"hc85_6500"
2.69469235029442,"hm09_w158"
2.69468872297014,"e12020"
2.69337630815444,"k13_1523"
2.69283211221728,"ld10_5587a"
2.69209387106006,"lg00_6182"
2.6855032974803,"u14_925152"
2.68535165238807,"hs90_3489"
2.68303426535669,"a98_980012"
2.68116576322121,"hm8625"
2.67812601124864,"sd01_2493r"
2.67551491039783,"u13_229443"
2.67167260677271,"a04_545020"
2.66791630976975,"ld10_2477"
2.66464151209338,"ar18_281022"
2.66408821835549,"hs93_3775"
2.66051674586866,"c2026"
2.65933232513884,"u02_300463"
2.65788440906683,"hs8_3672"
2.65605566132205,"ln96_95"
2.65485260865757,"ln95_5928"
2.65182309481657,"ne3001"
2.65138605834209,"cl04_10534"
2.65122189070078,"k1345"
2.64976760492097,"cl0j039_9"
2.64969432498539,"ln88_9838"
2.6462552667089,"a95_681032"
2.6381302079105,"ia2109"
2.63813020791048,"ar12_228007"
2.63756804711423,"u01_240136"
2.63515700294252,"a96_692002"
2.63456440785541,"a99_218004"
2.63136122455067,"u17_606129"
2.63008497031933,"hc94_96pr"
2.62554761211564,"am90_211003"
2.61397346691905,"u98_308038"
2.61365197619284,"nex27033r"
2.60912166536747,"hs96_3327"
2.60874240182116,"ia3019"
2.60802282948809,"a03_943037"
2.60453492610439,"hm9189"
2.60072501240917,"a97_771019"
2.59633731983366,"hm16_m006"
2.59488383567869,"hs93_3990"
2.58993155429474,"hc78_676_9"
2.58494138730845,"u03_360120"
2.58396218208406,"iroquois"
2.58368730507218,"sl89_337"
2.58362843690978,"e00105"
