"GEN","BLUP","GxE_PC1","GxE_PC2","Stability","Genotype_Mean_Yield"
"a00_711003",-0.257962772487202,NA,NA,NA,NA
"a00_711013",1.08094086628957,NA,NA,NA,NA
"a00_711022",-2.437911851808,NA,NA,NA,NA
"a00_711023",-2.56381200396965,NA,NA,NA,NA
"a00_711025",-1.10112807263634,NA,NA,NA,NA
"a00_711036",-3.96669941377085,NA,NA,NA,NA
"a00_711041",-1.91632550713832,NA,NA,NA,NA
"a00_711042",-2.22208301953088,NA,NA,NA,NA
"a00_711063",-1.55661078667647,NA,NA,NA,NA
"a00_712041",-1.49366071059564,NA,NA,NA,NA
"a00_712059",0.511748855979171,NA,NA,NA,NA
"a00_712063",-0.567395305406375,NA,NA,NA,NA
"a00_811015",-2.28356888863689,NA,NA,NA,NA
"a00_812013",1.02673297237415,NA,NA,NA,NA
"a00_812031",1.21395650132147,NA,NA,NA,NA
"a00_812042",1.20419969286823,NA,NA,NA,NA
"a00_812049",0.556713196036899,NA,NA,NA,NA
"a00_812052",4.24810135055359,NA,NA,NA,NA
"a00_911043",-0.386321254864066,NA,NA,NA,NA
"a00_912026",5.23001029100268,NA,NA,NA,NA
"a00_912027",3.78367094020256,NA,NA,NA,NA
"a00_912028",3.25007004320352,NA,NA,NA,NA
"a00_912029",5.17319190208268,NA,NA,NA,NA
"a00_912032",4.40620532003479,NA,NA,NA,NA
"a00_912033",3.62556697072138,NA,NA,NA,NA
"a00_912045",2.95362510042626,NA,NA,NA,NA
"a00_912046",3.9714194039615,NA,NA,NA,NA
"a00_912049",3.86272292494316,NA,NA,NA,NA
"a00_912050",2.82516562522279,NA,NA,NA,NA
"a00_912051",3.0227955870743,NA,NA,NA,NA
"a01_409005",1.03667914340421,NA,NA,NA,NA
"a01_410005",-1.58024544795574,NA,NA,NA,NA
"a01_410008",-2.01190311250997,NA,NA,NA,NA
"a01_510004",0.00249932207639577,NA,NA,NA,NA
"a01_510038",-1.32844514363245,NA,NA,NA,NA
"a01_510046",-1.436359559771,NA,NA,NA,NA
"a01_511015",-0.312251058327724,NA,NA,NA,NA
"a01_511020",-3.32486184219571,NA,NA,NA,NA
"a01_511047",-1.53528110789801,NA,NA,NA,NA
"a01_511050",-0.0424650179813369,NA,NA,NA,NA
"a01_511055",-0.0334721499697955,NA,NA,NA,NA
"a01_512021",-0.531207138033042,NA,NA,NA,NA
"a01_512025",-0.528079890604829,NA,NA,NA,NA
"a01_512030",-0.0604507540044283,NA,NA,NA,NA
"a01_512036",-1.93437986717869,NA,NA,NA,NA
"a01_512050",-4.63782057188147,NA,NA,NA,NA
"a01_611005",-6.73678794017013,NA,NA,NA,NA
"a01_611010",1.95893038129585,NA,NA,NA,NA
"a01_611037",-0.669548111329099,NA,NA,NA,NA
"a01_612003",-0.264406689533518,NA,NA,NA,NA
"a01_612006",-1.76010280818667,NA,NA,NA,NA
"a01_612009",-0.728837099884549,NA,NA,NA,NA
"a01_612011",-1.3019639892539,NA,NA,NA,NA
"a01_612013",-0.550970134218203,NA,NA,NA,NA
"a01_612016",-2.47786226227032,NA,NA,NA,NA
"a01_612018",-1.35137147971676,NA,NA,NA,NA
"a01_612032",1.52414446522254,NA,NA,NA,NA
"a01_612038",2.4925312782949,NA,NA,NA,NA
"a01_612041",0.269194207465521,NA,NA,NA,NA
"a01_612043",2.27513832025824,NA,NA,NA,NA
"a02_236004",-1.39429183327341,NA,NA,NA,NA
"a02_236010",1.95549361906288,NA,NA,NA,NA
"a02_236011",2.21411676060354,NA,NA,NA,NA
"a02_236015",2.33727063752768,NA,NA,NA,NA
"a02_236016",1.40130117290429,NA,NA,NA,NA
"a02_236018",1.35203962213464,NA,NA,NA,NA
"a02_236035",1.80770896675393,NA,NA,NA,NA
"a02_236055",0.219023954432644,NA,NA,NA,NA
"a02_237002",3.30248315261716,NA,NA,NA,NA
"a02_237007",-0.716945510190738,NA,NA,NA,NA
"a02_237009",-1.91924122896425,NA,NA,NA,NA
"a02_237015",1.47519349905877,NA,NA,NA,NA
"a02_237018",1.04415492982432,NA,NA,NA,NA
"a02_238008",1.8816012929084,NA,NA,NA,NA
"a02_238026",0.18207779135541,NA,NA,NA,NA
"a02_238031",-0.490656256644363,NA,NA,NA,NA
"a02_238054",0.465331708280909,NA,NA,NA,NA
"a02_336030",-4.73946501052683,NA,NA,NA,NA
"a02_336040",3.84065081201785,NA,NA,NA,NA
"a02_337018",0.223636229515591,NA,NA,NA,NA
"a02_337039",-0.995587152033281,NA,NA,NA,NA
"a02_337046",2.10789054645477,NA,NA,NA,NA
"a02_337048",2.28030597414857,NA,NA,NA,NA
"a02_337049",0.506890146441105,NA,NA,NA,NA
"a02_338011",-1.15568719203466,NA,NA,NA,NA
"a02_338013",2.82081522356355,NA,NA,NA,NA
"a02_338014",-1.93155661665668,NA,NA,NA,NA
"a02_338039",-0.059617687409908,NA,NA,NA,NA
"a02_338043",0.531520921825926,NA,NA,NA,NA
"a03_741005",-1.32393024077869,NA,NA,NA,NA
"a03_741021",-5.15824136053825,NA,NA,NA,NA
"a03_743050",-2.51776337330388,NA,NA,NA,NA
"a03_841022",-3.0936122960518,NA,NA,NA,NA
"a03_841043",-4.5964375334671,NA,NA,NA,NA
"a03_842004",0.136759709607274,NA,NA,NA,NA
"a03_842007",-2.20877126841474,NA,NA,NA,NA
"a03_842011",-3.24810834849636,NA,NA,NA,NA
"a03_842023",-4.80711396861879,NA,NA,NA,NA
"a03_843013",-2.93911624360723,NA,NA,NA,NA
"a03_843044",-1.16943418833313,NA,NA,NA,NA
"a03_843054",0.122714613930499,NA,NA,NA,NA
"a03_941022",1.1613779747799,NA,NA,NA,NA
"a03_941024",1.47037007966903,NA,NA,NA,NA
"a03_941027",1.42823479263869,NA,NA,NA,NA
"a03_941036",1.9479033326795,NA,NA,NA,NA
"a03_941049",1.42823479263869,NA,NA,NA,NA
"a03_942001",-0.903251089706549,NA,NA,NA,NA
"a03_942026",3.33836780468058,NA,NA,NA,NA
"a03_942052",-0.369537453988969,NA,NA,NA,NA
"a03_942054",4.39174998043897,NA,NA,NA,NA
"a03_942055",2.48161696839708,NA,NA,NA,NA
"a03_943037",2.60802282948809,NA,NA,NA,NA
"a03_943039",2.08835428944728,NA,NA,NA,NA
"a03_946005",3.09960117817534,NA,NA,NA,NA
"a03_946006",2.95915022140756,NA,NA,NA,NA
"a03_946036",-1.84359878081852,NA,NA,NA,NA
"a03_946045",-4.5964375334671,NA,NA,NA,NA
"a04_442033",-1.2583739325334,NA,NA,NA,NA
"a04_444023",1.20897736509415,NA,NA,NA,NA
"a04_542015",0.816815569444735,NA,NA,NA,NA
"a04_542021",-1.51981512963307,NA,NA,NA,NA
"a04_543012",1.64270315463148,NA,NA,NA,NA
"a04_543042",-2.76166081585623,NA,NA,NA,NA
"a04_543043",3.33533075944566,NA,NA,NA,NA
"a04_543045",-0.245289293772451,NA,NA,NA,NA
"a04_544030",2.06819003837593,NA,NA,NA,NA
"a04_544031",3.13710619370379,NA,NA,NA,NA
"a04_544033",0.183132867914243,NA,NA,NA,NA
"a04_545006",1.24786520435324,NA,NA,NA,NA
"a04_545011",-0.158405939685025,NA,NA,NA,NA
"a04_545014",1.45407848737504,NA,NA,NA,NA
"a04_545015",-0.16358891967882,NA,NA,NA,NA
"a04_545020",2.67167260677271,NA,NA,NA,NA
